№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
393635,"Товарищество с ограниченной ответственностью ""Кеrе-Med""",000840003786,,
393595,"""MedScience Group"" жауапкершілігі шектеулі серіктестігі",240340009230,,
393535,ТУЛЕМИСОВА КУРАЛАЙ,,871225450712,
393415,"Северо-Казахстанский филиал Товарищества с ограниченной ответственностью ""Olymp Medical Group""",181041032020,,
393355,ЗИЯТАЕВА АЙЖАН,,860226400043,
393315,ЕНДІБЕРГЕН МҰХТАР,,970605301088,
393255,ХОЖАЕВ СЕРІК,,920912301672,
393075,ИП АБДУРАИМОВ ХУСАН,,761116300080,
393015,"Товарищество с ограниченной ответственностью ""INSIDE BUSINESS GROUP""",190640023542,,
392955,ИП АСКАРОВ СЕРИК,,680524302666,
392935,"Товарищество с ограниченной ответственностью ""Beketova""",191140017037,,
392855,"ИП ""АК Ару""",,860226400043,
392795,"Товарищество с ограниченной ответственностью ""Kiba Group""",250140002872,,
392735,"""Arystan Medical"" жауапкершілігі шектеулі серіктестігі",241240033252,,
392695,ИП БАЙТАКОВ РЕНАТ,,850401351308,
392615,"Товарищество с ограниченной ответственностью ""AG Clinic""",180240034482,,
392535,"Товарищество с ограниченной ответственностью ""СП Торговый Дом ""Беларусь""",140440031953,,
392395,"Товарищество с ограниченной ответственностью ""Daryn pulse clinic""",241040017779,,
392335,"Товарищество с ограниченной ответственностью ""КазМедбиотех""",180340009049,,
392295,"Товарищество с ограниченной ответственностью ""Жаңа-фарм Астана""",150440008188,,
392215,"""BAI$TOM"" жауапкершілігі шектеулі серіктестігі",231240028968,,
392155,"Жауапкершілігі шектеулі серіктестігі ""ELMUS""",130140014950,,
392075,"Товарищество с ограниченной ответственностью ""BADDY Medical""",221240021364,,
392015,"Товарищество с ограниченной ответственностью ""Научно исследовательский институт здоровья ЭМИРМЕД""",230340034051,,
391975,"Товарищество с ограниченной ответственностью ""Научно-Исследовательский Медицинский институт ЭМИРМЕД""",220540012412,,
391915,"Товарищество с ограниченной ответственностью ""PharmOrit""",211240021590,,
391875,"Товарищество с ограниченной ответственностью ""Лечебно-диагностический центр ЭМИРМЕД""",231040019614,,
391835,"Товарищество с ограниченной ответственностью ""Диагностический центр Эмирмед в г.Алматы""",240240024141,,
391795,"Товарищество с ограниченной ответственностью ""АлтайМедика""",200140005602,,
391735,ИП Ансар-ФАРМ 3161,,920115350599,
391695,ИП САБИЕВА ГУЛЬНАР,,611115401545,
391655,"Товарищество с ограниченной ответственностью ""Аурамедик""",080640001955,,
391555,ИП АЯПБЕРГЕНОВА КОРЛАН,,571010450136,
391515,ИП КОМЕК,,890225451078,
391475,"Товарищество с ограниченной ответственностью ""Pharmgroup""",150240018792,,
391395,"Товарищество с ограниченной ответственностью ""DA.Pharm""",241140009860,,
390855,ИП Узи line,,740612400929,
390795,"Товарищество с ограниченной ответственностью ""Turnkey engineering""",250140007813,,
390755,"Товарищество с ограниченной ответственностью ""KM-QAMQOR""",230840042127,,
390715,"Товарищество с ограниченной ответственностью ""Red Techno Group""",240340006961,,
390655,"Товарищество с ограниченной ответственностью ""Aelita FC""",131140010316,,
390595,ИП ТУЛЕМИСОВА КУРАЛАЙ,,871225450712,
390575,"Товарищество с ограниченной ответственностью ""Медкомплект""",140340008767,,
390495,"Товарищество с ограниченной ответственностью ""Light med clinic""",241240032284,,
390435,"Товарищество с ограниченной ответственностью ""MSSlab""",190140032583,,
390395,"Товарищество с ограниченной ответственностью ""AVEO MED» (АВЕО МЕД)""",220740013725,,
390295,"Товарищество с ограниченной ответственностью ""We medical""",181040019662,,
390235,"Товарищество с ограниченной ответственностью ""ДИВИЯ""",140540024350,,
390175,ИП БАЛАЕВ ПАВЕЛ,,560504301569,
390135,"Товарищество с ограниченной ответственностью ""ВЕРАЛАЙН""",240840031344,,
389995,"Товарищество с ограниченной ответственностью ""Zangar Farm Kz""",241240005445,,
389955,"Товарищество с ограниченной ответственностью ""Ai-böbek clinic""",240940022547,,
389895,"Товарищество с ограниченной ответственностью ""ФАРМАТЕКА""",030640000214,,
389755,"""Denta + SK"" жауапкершілігі шектеулі серіктестігі",240540031195,,
389695,"Товарищество с ограниченной ответственностью ""ZeroMax Ltd""",160640019320,,
389635,"Товарищество с ограниченной ответственностью ""KARCOM""",180840027570,,
389495,"""Medical Servis"" (Медикал Сервис) жауапкершілігі шектеулі серіктестігі",110640007417,,
389455,"""Жасыл Жол 2012"" жауапкершілігі шектеулі серіктестігі",120540020254,,
389415,"Товарищество с ограниченной ответственностью ""Традиция вкуса""",230240027917,,
389335,"Товарищество с ограниченной ответственностью ""B E Medical""",240640020550,,
389295,"""Медицинский центр Мәртебе"" ЖШС",191240002429,,
389235,"Товарищество с ограниченной ответственностью ""Vitality Life Clinic""",240340001592,,
389195,"""Healthcare Technologies Central Asia (HeCaTeCA)"" жауапкершілігі шектеулі серіктестігі",150640002760,,
389155,"ТОО ""BTL KAZAKHSTAN"" (Би Ти Эл Казахстан)",081040008735,,
389075,"""Эхо Клиник"" жауапкершілігі шектеулі серіктестігі",240740021224,,
388995,"Товарищество с ограниченной ответственностью ""Петропавловский автобусный парк""",060740000352,,
388895,"Товарищество с ограниченной ответственностью ""ABI Group""",170840019815,,
388815,ИП БЕКТҰРСЫНОВА АҚЕРКЕ,,920920402175,
388735,"Региональное общественное объединение ""Дети будущее страны""",151240014504,,
388675,ИП Nar Dent,,840125450196,
388635,"Товарищество с ограниченной ответственностью ""ES Trade Company""",180240016761,,
388575,"Товарищество с ограниченной ответственностью ""Самұрық Сенім""",231240024539,,
388535,"Товарищество с ограниченной ответственностью ""EliteMed""",241140009563,,
388475,"Товарищество с ограниченной ответственностью ""Ра Медикал""",241240028167,,
388415,ИП ЖЕКСЕНБЕКОВ ЕРКЕШ,,790227350043,
388335,"Товарищество с ограниченной ответственностью ""Клин Лаб""",220240015565,,
388275,"Товарищество с ограниченной ответственностью ""ALFA-MED ALMATY (АЛЬФА-МЕД АЛМАТЫ)""",240240004917,,
388195,"Товарищество с ограниченной ответственностью ""Easy Med Clinics""",240740029785,,
388115,"Товарищество с ограниченной ответственностью ""КАЗАХСТАН-МЕД ДЕЗ""",050140005578,,
388055,"Товарищество с ограниченной ответственностью ""Sono clinic""",240840002935,,
388015,"Товарищество с ограниченной ответственностью ""QazQuality Control""",220340028590,,
387955,"Товарищество с ограниченной ответственностью ""Куралов""",240640012519,,
387895,"Товарищество с ограниченной ответственностью ""Clinic Expert""",240740033862,,
387855,"Товарищество с ограниченной ответственностью ""Профилактика""",971140002934,,
387775,ИП АЛИЕВА АЙСУЛУ,,880512400100,
387695,"""Шынгыс LTD"" жауапкершілігі шектеулі серіктестігі",160140002368,,
387635,"Товарищество с ограниченной ответственностью ""Тамерлан Групп""",240740005272,,
387595,ИП ЮСУПОВ АЛИШЕР,,680927302908,
387535,ИП БЕКІМБЕТОВА ЖАНЕРКЕ,,970610450565,
387495,"Шымкент қаласының ауыл шаруашылығы және ветеринария басқармасының ""Ветеринариялық қызмет"" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорны",120340009187,,
387355,ИП КӨБЕГЕНОВА АЛТЫНГҮЛ,,930121402054,
387255,"Товарищество с ограниченной ответственностью ""Торговый дом Алатау""",000240000442,,
387215,"Товарищество с ограниченной ответственностью ""DNK Klinica""",200840017748,,
387135,"Товарищество с ограниченной ответственностью ""Status Medical Center""",130440005090,,
387095,"Товарищество с ограниченной ответственностью ""Sevil Kids""",210440011210,,
387035,"Товарищество с ограниченной ответственностью ""Sevil home clinic""",150840002034,,
386975,"Товарищество с ограниченной ответственностью ""Lab Smile Atyrau""",221240013735,,
386935,"Товарищество с ограниченной ответственностью ""AST-lab (AСТ-лаб)""",230340010371,,
386895,"ТОО ""ASU-MED clinic""",180940026358,,
386855,"Филиал Товарищества с ограниченной ответственностью ""Гигиенист VII"" в городе Астана",221141051417,,
386775,"Товарищество с ограниченной ответственностью ""Ақсары corp.""",240540026298,,
386655,"Товарищество с ограниченной ответственностью ""Медицинский центр ""Дамир""",050840008914,,
386615,"Товарищество с ограниченной ответственностью ""Т-ТЕМИР""",231140020403,,
386475,ИП D-ЛОР,,870923400583,
386395,"Товарищество с ограниченной ответственностью ""Dr.Darbаyeva""",241040025998,,
386315,"ТОО ""StarMedical""",211140005149,,
386255,"Товарищество с ограниченной ответственностью ""НИИ Аллергоскрин""",211140010036,,
386195,"""Medikay"" жауапкершілігі шектеулі серіктестігі",240840032411,,
386135,"Товарищество с ограниченной ответственностью ""AVF - Clinic""",240940012798,,
386095,"Объединение юридических лиц ""Ассоциация частных медицинских учреждений Мангистауской области""",240540015470,,
385875,ИП ЕРГАЛИЕВА АРАЙЛЫМ,,900528402269,
385815,"Товарищество с ограниченной ответственностью ""АлтИНФАРМ""",191240020704,,
385755,ИП САКИЕВА РОЗА,,630330401674,
385715,"""Стоматологическая клиника ""Эстет"" жауапкершілігі шектеулі серіктестігі",240140005677,,
385675,"Товарищество с ограниченной ответственностью ""A&E Dental clinic""",240540030781,,
385635,"Товарищество с ограниченной ответственностью """"Медицинский центр ""Жанұя""""",241040012936,,
385575,"Товарищество с ограниченной ответственностью ""Стоматология Dr.Nassipkaliyev""",230740017204,,
385495,ТКАЧЕНКО ЕЛЕНА,,691206450235,
385455,"ТОО ""Табысты-НС""",141240019573,,
385375,"Товарищество с ограниченной ответственностью ""Медицинский центр Дана""",230840017337,,
385295,"Республиканское государственное учреждение ""Комитет по инвестициям Министерства иностранных дел Республики Казахстан""",030140001968,,
385235,"Товарищество с ограниченной ответственностью ""Рахат Cтом""",240940034085,,
385195,"Производственный кооператив ""СПК ШАХСҰЛТАН""",231240021435,,
385155,"Товарищество с ограниченной ответственностью ""АИНдент""",210840001476,,
385115,"Товарищество с ограниченной ответственностью ""PK Distribution Group""",241140032072,,
385055,ИП САТБАЕВ НУРЖАН,,761212302722,
384935,"Товарищество с ограниченной ответственностью ""Daua clinica""",240740028390,,
384895,"Товарищество с ограниченной ответственностью ""Медицинский центр ""Автомобилист""",060740006361,,
384755,"Товарищество с ограниченной ответственностью ""Family-Нұраят""",240140034204,,
384695,ИП ШАМШИЕВА ГУЛНУР,,831204400982,
384615,"Товарищество с ограниченной ответственностью ""Клиника Ибн Сина""",240440005043,,
384595,"Товарищество с ограниченной ответственностью ""OtarBioPharm""",210640032934,,
384395,"Товарищество с ограниченной ответственностью ""EUROMED SERVICE""",201240008819,,
384355,"Товарищество с ограниченной ответственностью ""АYАСОМ""",100740002507,,
384315,"Товарищество с ограниченной ответственностью ""KP Distribution Group""",240840022543,,
384255,"Товарищество с ограниченной ответственностью ""Dentalius""",221040002023,,
384215,"Товарищество с ограниченной ответственностью ""Медицинская клиника Акерке""",210140016131,,
384175,"Товарищество с ограниченной ответственностью ""MegaDentPlus""",170740014117,,
384075,"Товарищество с ограниченной ответственностью ""Алатау Н""",230740037695,,
384015,"ТОО ""Дария Дент""",220140015723,,
383975,"Товарищество с ограниченной ответственностью ""AMIRMED KZ""",240140020125,,
383815,"""МультиМед"" жауапкершілігі шектеулі серіктестігі",190240015140,,
383535,"Товарищество с ограниченной ответственностью ""Амина медикал""",240440016029,,
383515,"ТОО ""ALEM KZO""",241040011452,,
383375,"Товарищество с ограниченной ответственностью ""Takurra""",181040017577,,
383295,"Товарищество с ограниченной ответственностью ""Смарт Батыс""",221140053547,,
383255,"Товарищество с ограниченной ответственностью ""Медицинский центр dr. Akhmetalievna""",240940015099,,
383215,"Товарищество с ограниченной ответственностью ""NRT Центр эстетической стоматологии и косметологии""",230240007754,,
383135,"ТОО ""Spine KZO""",240140017086,,
383015,"Товарищество с ограниченной ответственностью ""Vishe""",240340015136,,
382975,"Товарищество с ограниченной ответственностью ""БЕК_КЛИНИК""",240740033674,,
382915,ИП ТАСМАГАНБЕТОВА ГУЛЬБАРАМ,,610918401964,
382835,"Общественный фонд ""Aqylsana""",220240034511,,
382795,ИП ДҮЙСЕНӘЛІ МЕЙІРЖАН,,020106501467,
382635,"Товарищество с ограниченной ответственностью ""msclinic""",221040015015,,
382575,"ТОО ""Оңалту ортылығы ""Айша""""",240240027740,,
382535,"Товарищество с ограниченной ответственностью ""WEGO MEDICAL KZ (ВЕГО МЕДИКАЛ КЗ)""",181140014873,,
382495,"ТОО ""ЖАНДОС ДЕНТ""",240540033974,,
382415,"""BerekeDent"" жауапкершілігі шектеулі серіктестігі",210940041934,,
382355,"Товарищество с ограниченной ответственностью ""BAIKANG""",231240020506,,
382295,"""L-Sayаrs"" жауапкершілігі шектеулі серіктестігі",230740007227,,
382195,"ТОО ""My Dentss""",240940031625,,
382155,ИП Trinity med,,710613402320,
382115,ИП АНДРЕЕВА НАТАЛЬЯ,,880331450133,
382015,"""VITALMED.KZ"" жауапкершілігі шектеулі серіктестігі",080840008880,,
381935,"Товарищество с ограниченной ответственностью ""MediGroup Clinic""",171140001919,,
381855,"ТОО ""AZATTYQ NEWS KZ""",220440045168,,
381795,"Товарищество с ограниченной ответственностью ""СИГМА-МТ""",001240000534,,
381715,"Товарищество с ограниченной ответственностью ""AISERMED CLINIC""",240840001194,,
381675,"""Olymp Medical Group"" жауапкершілігі шектеулі серіктестігінің Қызылорда филиалы",211041028695,,
381575,"ИП ""Topper kz""",,860708451058,
381495,"Товарищество с ограниченной ответственностью ""Medical center SherMa by Dr.Kydyrova M.""",240240026287,,
381435,"ТОО ""Medical center SherMa by Dr.Kydyrova M.""",,850105400201,
381395,"Товарищество с ограниченной ответственностью ""Кызылординский Университет ""Болашак""",991040001575,,
381275,"Товарищество с ограниченной ответственностью ""Медицинский центр ShymLife""",240140003660,,
381235,"Товарищество с ограниченной ответственностью ""Crown White dental clinic""",240740027411,,
381195,ИП ТУРГИНБАЕВ БЕКСУЛТАН,,910730302667,
381095,"Товарищество с ограниченной ответственностью ""DENTAL CLINIC DR.TOKTASSYNOV""",231240016776,,
381015,"Товарищество с ограниченной ответственностью ""Tengrium dental""",220540038595,,
380935,ИП АХМЕТОВА ДАНА,,870413401288,
380895,"Товарищество с ограниченной ответственностью ""МСП-РОМФАРМ""",230640024283,,
380835,"Товарищество с ограниченной ответственностью ""UlyTuran Group""",171040028907,,
380755,ИП МЕЙРАМОВ КАЗЫБЕК,,970201350991,
380695,"Товарищество с ограниченной ответственностью ""ИНСТИТУТ РЕПРОДУКТИВНОЙ МЕДИЦИНЫ АСТАНА""",230340043407,,
380535,"""TapMed"" жауапкершілігі шектеулі серіктестігі",211140015443,,
380495,"Товарищество с ограниченной ответственностью ""Литер А""",050340007680,,
380455,"Товарищество с ограниченной ответственностью ""ДЕНТ-К""",240440011930,,
380375,"Товарищество с ограниченной ответственностью ""Bas marketing (Бас маркетинг)""",221140039938,,
380215,"Товарищество с ограниченной ответственностью ""БаркMed""",190940015979,,
380175,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПСК ФАРМА""",241050005165,,
379935,"Товарищество с ограниченной ответственностью ""ERENSAU""",240440031548,,
379875,"Товарищество с ограниченной ответственностью ""InnMed""",220840032626,,
379815,"Государственное учреждение ""Прокуратура города Астаны""",990240016691,,
379755,"""Павлодар облысының прокуратурасы"" мемлекеттiк мекемесі",980840001712,,
379675,"ТОО ""DENTICORE""",240440027847,,
379615,"ТОО ""MC ""NAZAR""""",220540045627,,
379515,"ТОО ""RIК СТОМ МЕД""",240140006249,,
379475,"""Медицинский центр ""Эмаль"""" жауапкершілігі шектеулі серіктестігі",240640004508,,
379395,"Товарищество с ограниченной ответственностью ""UMA LONG""",200240004615,,
379295,"Товарищество с ограниченной ответственностью ""ECO CITY KZ (ЭКО СИТИ КЗ)""",180640016607,,
379195,"Товарищество с ограниченной ответственностью ""Triple-S""",240240036561,,
379135,"филиал Товарищества с ограниченной ответственностью ""Мирамед"" в городе Актобе",230141015310,,
379075,"Товарищество с ограниченной ответственностью ""F Clinic""",231040018150,,
379015,"Товарищество с ограниченной ответственностью ""CLINIC DENTAL ART""",240840015604,,
378975,"ТОО ""Шипа Life""",240140006114,,
378915,"Товарищество с ограниченной ответственностью ""Amazing kids""",231040015621,,
378835,"Товарищество с ограниченной ответственностью ""Доктор Бакитжановна""",240740025366,,
378775,ИП ДИЛЬДАЕВ,,710422301194,
378655,"Товарищество с ограниченной ответственностью ""Медицинский центр диагностики и консультации города Павлодара""",110440015594,,
378555,"""Айнаш-Х"" жауапкершілігі шектеулі серіктестігі",221240036779,,
378495,"Товарищество с ограниченной ответственностью ""Бай-Денсаулық""",240640011075,,
378355,"Товарищество с ограниченной ответственностью ""Al-Green""",220340005105,,
378295,"ТОО ""Dr. Kermenbaev""",240540034358,,
378235,"Товарищество с ограниченной ответственностью ""АЗИЗХАН""",240140015036,,
378175,"Товарищество с ограниченной ответственностью ""Медико-консультативный центр ""Мейірім""""",220640024985,,
378115,"Товарищество с ограниченной ответственностью ""ZZM Group""",181040022533,,
378075,"Товарищество с ограниченной ответственностью ""Многопрофильный Медицинский Центр ЭМИРМЕД""",230540024190,,
377955,"""Бурабай"" Ортопедия және травмотология бойынша халықаралық ғылыми орталық"" жауапкершілігі шектеулі серіктестігі",230740041376,,
377875,"""Али Холдинг & Co"" ЖШС",230440013914,,
377835,"Государственное учреждение ""Агентство по защите и развитию конкуренции Республики Казахстан""",201040009344,,
377655,"""Дархан Мед Өзен"" жауапкершілігі шектеулі серіктестігі",240540003030,,
377595,"Товарищество с ограниченной ответственностью ""Мадина 8""",230740032298,,
377535,"Товарищество с ограниченной ответственностью ""reMedical""",230140026757,,
377495,"Товарищество с ограниченной ответственностью ""Каз Энерджи Груп 2020""",210840023665,,
377455,"""Профилактикалық медицина академиясы"" қоғамдық бірлестігі",950640000960,,
377415,Товарищество с ограниченной ответственностью «ЗДОРОВЬЕ ПЛАНЕТЕ»,990340008307,,
377375,ИП АСКАРОВА АРУЖАН,,940804450118,
377335,"""GRAND MEDICAL PLUS"" жауапкершілігі шектеулі серіктестігі",240440036281,,
377295,"Товарищество с ограниченной ответственностью ""Салауат Медикал""",180140004417,,
377255,"Товарищество с ограниченной ответственностью ""Abylai and Co""",210640008367,,
377195,"""Клиника Евромед"" жауапкершілігі шектеулі серіктестігі",060340011076,,
377135,ИП АЯНОВ РУСЛАН,,770928301326,
377095,"ТОО ""Нейро Аксон""",240840015878,,
377035,"Товарищество с ограниченной ответственностью ""SAAD dent""",240240032172,,
376975,ИП КАЛИЕВА А.С.,,850520400486,
376955,"""ДЖЕД-ПВ"" Жауапкершілігі шектеулі серіктестігі",121240002961,,
376775,"Товарищество с ограниченной ответственностью ""Ару Реаб""",240840037690,,
376715,"Товарищество с ограниченной ответственностью ""Бурли""",970340004112,,
376595,"ТОО ""Orda Сығанақ""",180240009481,,
376555,"Товарищество с ограниченной ответственностью ""Центр репродуктивной медицины Астана ЭКО-Центр""",081140006019,,
376455,"""Қарағанды медицина университеті"" коммерциялық емес акционерлік қоғамы",240940035132,,
376395,"Товарищество с ограниченной ответственностью ""Glazclinic""",230240034958,,
376355,Филиал Республиканского государственного предприятия на праве хозяйственного ведения «Национальный центр экспертизы» Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан по области Ұлытау,230141031124,,
376275,"Некоммерческое акционерное общество ""Национальный центр гигиены труда и профессиональных заболеваний""",240940035162,,
376095,KHAN DENT,,900720402689,
376035,"Товарищество с ограниченной ответственностью ""Строй Монтаж Проект""",131140009630,,
375995,ИП ТЛЕУОВА ДАРИХА,,650829402331,
375935,"""""Dr. Issabekov"""" жауапкершілігі шектеулі серіктестігі",220940002102,,
375835,"Товарищество с ограниченной ответственностью ""ЕмКлиник""",231040038600,,
375775,"Товарищество с ограниченной ответственностью ""DAR TRADING""",100640018440,,
375715,"Товарищество с ограниченной ответственностью ""ATM CONSTRUCTION & INVESTMENT (АТМ КОНСТРАКШЭН ЭНД ИНВЕСТМЕНТ)""",210740011455,,
375675,ИП ОМАРОВА САРА,,600124400432,
375555,"Товарищество с ограниченной ответственностью ""ELITE STOM Dr. Akmaral Sakypbek""",240540011216,,
375475,"Товарищество с ограниченной ответственностью ""White Dental Kazakhstan""",240540023372,,
375415,"Товарищество с ограниченной ответственностью ""Кентау Medical centre""",230940016283,,
375375,МАХАМБЕТОВ ҚУАНТАЙ,,630814300794,
375335,"Товарищество с ограниченной ответственностью ""Alin&Mi""",161040007179,,
375255,"ИП ""ALLERGONET"" ДЮСЕКЕЕВ А.Б",,850810350244,
375135,"Товарищество с ограниченной ответственностью ""Riten""",221240002117,,
375075,"""Unilab Medical"" жауапкершілігі шектеулі серіктестігі",210440021842,,
375035,"Товарищество с ограниченной ответственностью ""Экомед-Актобе""",210340011980,,
374975,"Товарищество с ограниченной ответственностью ""ЖЕҢІМПАЗ-МЕД""",060140001448,,
374935,"Товарищество с ограниченной ответственностью ""Salvum""",221140035935,,
374855,ABMUK,,670201402985,
374815,"""Medal Group"" жауапкершілігі шектеулі серіктестігі",200240005633,,
374735,"Товарищество с ограниченной ответственностью ""NeoTech KZ""",240140004543,,
374675,"Товарищество с ограниченной ответственностью ""D.S Med equipment""",230640016321,,
374595,"""MC MEDION"" жауапкершілігі шектеулі серіктестігі",240240012554,,
374515,"Товарищество с ограниченной ответственностью ""EMD-group""",201140025687,,
374475,"Товарищество с ограниченной ответственностью ""Медицинский центр IVI""",230240037012,,
374415,"ТОО ""Dr.Kazbek""",240240025378,,
374355,МАЖКЕЕВ РУСТЕМ,,810111300756,
374255,ИП ЕРСЕНБЕК ЕРЖІГІТ,,950725300752,
374155,ИП БЕКИШЕВА ДАНА,,870611450581,
374115,ИП АЛДАМУРАТОВ ОЛЖАС,,910710300694,
374075,"Товарищество с ограниченной ответственностью ""НейроСкан""",240540033052,,
374035,НУРМАГАМБЕТОВА ЖАНАТ,,720219401739,
373875,НУРКАСИМОВ РИНАТ,,861217302077,
373815,"Товарищество с ограниченной ответственностью ""Interlab GmbH (Интерлаб ГмбХ)""",190240023210,,
373775,"Товарищество с ограниченной ответственностью ""Kaz-Pharm (Каз Фарм)""",160540027506,,
373655,БАЙЖАНОВ АДИЛЕТ,,950725300960,
373615,АХАТОВ АЙБЕК,,880930350906,
373555,"Товарищество с ограниченной ответственностью ""Black Stone Supply""",231240011656,,
373495,"Товарищество с ограниченной ответственностью ""AsiaLink""",140540014392,,
373255,ИП ДЖАКАНОВА РАЙГУЛЬ,,771123401657,
373195,"Товарищество с ограниченной ответственностью ""Atlant Health""",220740030943,,
373135,"""КазГосУслуг"" жауапкершілігі шектеулі серіктестігі",180440013259,,
373095,"""Шұғыла и Ко"" жауапкершілігі шектеулі серіктестігі",120540010930,,
373035,АМАНГЕЛДИЕВ АМАНТАЙ,,730318300942,
372995,"Товарищество с ограниченной ответственностью ""Мед-ВИТА""",030540008167,,
372915,"Товарищество с ограниченной ответственностью ""Альфоком""",160140005550,,
372875,"Товарищество с ограниченной ответственностью ""Врачебная амбулатория Мейрим-К""",240540032956,,
372835,"Товарищество с ограниченной ответственностью ""Dentrade""",200140014966,,
