№,Организатор,Название объявления,Способ закупки,Вид предмета закупки,Дата начала приема заявок,Дата окончания приема заявок,Кол-во лотов,Сумма объявления,Статус
496956-1,"ФИЛИАЛ ПО ОБЛАСТИ ЖЕТІСУ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-28 11:30:00,2025-03-04 13:00:00,1,204 222 562.50,Завершено
496936-1,"ФИЛИАЛ ПО ВОСТОЧНО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-28 10:03:00,2025-03-03 11:00:00,2,1 414 407 762.83,Завершено
496916-1,"ФИЛИАЛ ПО АТЫРАУСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-27 19:10:00,2025-02-28 19:10:00,6,3 048 113 303.84,Завершено
496856-1,"Филиал по Алматинской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-27 11:30:00,2025-03-03 11:00:00,9,4 303 016 300.12,Завершено
496836-1,"ФИЛИАЛ ПО ОБЛАСТИ ҰЛЫТАУ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения/
[2025 год - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-26 20:11:00,2025-03-03 13:00:00,6,244 337 986.63,Завершено
496756-1,"ФИЛИАЛ ПО ПАВЛОДАРСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-26 12:00:00,2025-02-27 12:00:00,1,1 500 000 000.00,Завершено
496736-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения//
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-25 16:45:00,2025-02-26 16:45:00,1,816 586 944.00,Завершено
496716-1,"ФИЛИАЛ ПО ЖАМБЫЛСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-25 17:00:00,2025-03-03 09:00:00,5,2 118 250 950.11,Завершено
496656-1,"ФИЛИАЛ ПО ГОРОДУ АСТАНА НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-27 17:04:11,2025-02-28 14:50:58,2,3 821 552 075.82,Завершено
496616-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2025 год
2025 жылға арналған дәрілік заттарды сатып алу",Тендер,Товар,2025-02-25 09:00:00,2025-03-04 10:00:00,2,33 895 771.98,Завершено
496596-1,"ФИЛИАЛ ПО СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-21 09:00:00,2025-02-24 10:00:00,1,7 437 734.90,Завершено
496556-1,"ФИЛИАЛ ПО ОБЛАСТИ ҰЛЫТАУ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 год - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-19 18:05:11,2025-02-21 09:00:00,2,149 486 938.96,Завершено
488576-1,"ФИЛИАЛ ПО ГОРОДУ АСТАНА НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Размещение Единый источник ГОБМП и ОСМС г.Астана 2025
Размещение Единый источник ГОБМП и ОСМС г.Астана 2025",Закуп медицинских услуг,Услуга,2025-02-18 10:06:09,2025-02-18 10:16:00,7,1 187 397 266.66,Завершено
488576-1,"ФИЛИАЛ ПО ГОРОДУ АСТАНА НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Размещение Единый источник ГОБМП и ОСМС г.Астана 2025
Размещение Единый источник ГОБМП и ОСМС г.Астана 2025",Закуп медицинских услуг,Услуга,2024-11-27 00:00:00,2025-02-17 09:09:19,7,1 325 781 292.00,Завершено
496496-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Допуск ОТП к закупу ЛС и МИ на 2025 год в рамках Долгосрочных договоров
Ұзақ мерзімді шарттар шеңберінде 2025 жылға арналған ДЗ және МИ сатып алуға ОТП-ның рұқсаты",Допуск по долгосрочному договору поставки ЛС и МИ,Товар,2025-02-10 09:00:00,2025-02-24 10:00:00,1903,124 060 890.20,Завершено
496456-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств и медицинских изделий на 2025 год
2025 жылға арналған дәрілік заттар мен медициналық бұйымдарды сатып алу",Тендер,Товар,2025-02-20 09:00:00,2025-02-24 10:00:00,3,10 740 708.00,Завершено
496436-1,"ФИЛИАЛ ПО СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-02-04 13:00:00,2025-02-05 18:30:00,1,103 615 738.40,Завершено
496416-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2025 год по Долгосрочному договору поставки лекарственных средств от 29 октября 2014 года №ДД -09/14 ТОО ""Султан""
«Султан» ЖШС 2014 жылғы 29 қазандағы № ДД-09/14Дәрілік заттарды жеткізудің ұзақ мерзімді шарты бойынша 2025 жылға арналған дәрілік заттарды сатып алу",Из одного источника,Товар,2025-02-03 10:00:00,2025-02-10 10:00:00,3,14 535 000.00,Завершено
496396-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства на 2025 год
2025 жылға арналған дәрілік затты сатып алу",Тендер,Товар,2025-02-03 09:00:00,2025-02-10 10:00:00,1,80 160.00,Завершено
496376-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства на 2025 год
2025 жылға арналған дәрілік затты сатып алу",Тендер,Товар,2025-02-03 09:00:00,2025-02-10 16:00:00,1,7 192 000.00,Завершено
496336-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства на 2025 год
2025 жылға арналған дәрілік затты сатып алу",Тендер,Товар,2025-02-03 09:00:00,2025-02-10 10:00:00,1,22 553 500.00,Завершено
496316-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства на 2025 год
2025 жылға арналған дәрілік затты сатып алу",Тендер,Товар,2025-02-03 09:00:00,2025-02-10 10:00:00,1,38 708 080.00,Завершено
496276-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств и медицинских изделий на 2025 год
2025 жылға арналған дәрілік заттар мен медициналық бұйымдарды сатып алу",Тендер,Товар,2025-02-07 09:00:00,2025-02-11 13:00:00,10,460 801 669.64,Завершено
496256-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения/
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-01-27 09:40:00,2025-01-28 09:40:00,4,309 747 855.02,Завершено
496236-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения/
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-01-27 09:40:00,2025-01-28 09:40:00,1,147 586 566.00,Завершено
496216-1,"Филиал по Мангистауской области некоммерческого акционерного общества ""Фонд социального медицинского страхования""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения/
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-01-23 18:00:00,2025-01-24 10:30:00,5,457 334 421.02,Завершено
488578-1,"ФИЛИАЛ ПО ЖАМБЫЛСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","Размещение Единый источник ГОБМП и ОСМС Жамбылская область 2025
Размещение Единый источник ГОБМП и ОСМС Жамбылская область 2025",Закуп медицинских услуг,Услуга,2024-11-27 00:00:00,2025-01-22 15:23:10,7,33 148 000.00,Завершено
496156-1,Филиал по Костанайской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-01-21 17:40:00,2025-01-23 12:00:00,4,1 271 687 116.10,Завершено
496136-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2025 год
2025 жылға арналған дәрілік заттарды сатып алу",Тендер,Товар,2025-02-06 09:00:00,2025-02-10 10:00:00,7,3 055 589 923.28,Завершено
496116-1,"ФИЛИАЛ ПО АКТЮБИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-01-30 10:04:31,2025-01-30 14:10:00,6,2 974 407 810.29,Завершено
