Регион,Код или название услуги,Результат (текст)
область Абай,D03.000.000 - Стоматологические услуги,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.000.003 - Профилактический прием,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.001.001 - Лечение пульпита однокорневого зуба завершенное пломбой из КМХО,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.001.003 - Миотерапия (1 сеанс),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.001.002 - Удаление постоянного зуба простое,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.003.002 - Удаление постоянного зуба с вмешательством на альвеолярном отростке,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.003.003 - Покрытие фторлаком молочных зубов,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.002.003 - Местное применение реминерализующих препаратов,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.000.002 - Хирургический прием,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.002.001 - Лечение пульпита первого премоляра завершенное пломбой из КМХО,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.002.002 - Удаление постоянного зуба сложное,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.000.001 - Терапевтический прием,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.009.002 - Вправление вывиха верхне-нижнечелюстного сустава,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.010.001 - Лечение пульпита пломбированием 3 корней постоянного зуба, завершенное пломбой из цемента","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.007.001 - Лечение пульпита пломбированием 1 корня постоянного зуба или методом прижизненной ампутации пульпы, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.009.003 - Обучение детей санитарно-гигиеническим навыкам по уходу за зубами и слизистой оболочкой полости рта,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.005.002 - Перевязка после операции (стоматолог),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,"D03.004.002 - Вскрытие абсцесса, разрез или иссечение капюшона","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.006.003 - Закрытие фиссур герметиками в одном зубе,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.004.001 - Лечение пульпита временных зубов у дошкольников завершенное пломбой из цемента,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,D03.010.002 - Временное шинирование зубов (6-8 зубов),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
