№,БИН/ИИН,Наименование субъекта,Ссылка,Долгосрочный договор,Юридический адрес,Форма собственности,Регион оказания услуг,Дата включения в БД
66101,081040018534,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТИТУТ МОЛЕКУЛЯРНОЙ МЕДИЦИНЫ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66101,Нет,"г.Алматы, Алмалинский район
г.Алматы, Алмалинский район",Частные организации,Атырауская область,2025-03-13 17:43:11
66044,131040005613,"ТОО ""АКВА ЛАБ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66044,Нет,"г.Алматы, Жетысуский район",Частные организации,Костанайская область,2018-12-11 00:00:00
65984,080340020376,"ТОО ""INVIVO"" (ИНВИВО)",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65984,Нет,"г.Алматы, Алмалинский район",Частные организации,Западно-Казахстанская область,2019-04-24 00:00:00
66078,990140002162,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КАРАГАНДИНСКОЙ ОБЛАСТИ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66078,Да,"Карагандинская область, г.Караганда, район им.Казыбек би
Карагандинская область, г.Караганда, район им.Казыбек би",Государственные организации,Карагандинская область,2017-09-08 00:00:00
66030,080340020376,"ТОО ""INVIVO"" (ИНВИВО)",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66030,Нет,"г.Алматы, Алмалинский район",Частные организации,Акмолинская область,2019-11-14 12:56:30
65501,100140017375,"ТОO ""Centre Nova Diagnostic""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65501,Нет,"г.Алматы, Медеуский район
г.Алматы, Медеуский район",Частные организации,область Ұлытау,2022-12-16 18:12:20
66032,111040002536,"ТОО ""IDSenim""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66032,Нет,"г.Астана, район Есиль
г.Астана, район Есиль
г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,область Ұлытау,2022-09-30 18:23:14
66045,170440033231,"ТОО ""NEFRO CARE""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66045,Нет,"г.Алматы, Жетысуский район
г.Алматы, Жетысуский район
г.Алматы, Жетысуский район
г.Алматы, Жетысуский район
г.Алматы, Жетысуский район
г.Алматы, Жетысуский район",Частные организации,область Ұлытау,2022-09-30 18:22:18
65491,761116300080,ИП АБДУРАИМОВ ХУСАН,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65491,Нет,"г.Шымкент, район Тұран
г.Шымкент, район Тұран",Частные организации,г.Шымкент,2025-03-12 17:03:06
66050,230440018320,"Товарищество с ограниченной ответственностью ""Jacksoft MDS. Клиника""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66050,Нет,"Туркестанская область, г.Туркестан
Туркестанская область, г.Туркестан",Частные организации,Туркестанская область,2023-10-16 15:59:06
65919,240340021626,"Товарищество с ограниченной ответственностью ""Bolashak Qyzylorda Medical Clinic""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65919,Нет,"Кызылординская область, г.Кызылорда",Частные организации,Кызылординская область,2025-03-12 11:03:09
65997,080340020376,"ТОО ""INVIVO"" (ИНВИВО)",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65997,Нет,"г.Алматы, Алмалинский район",Частные организации,Костанайская область,2019-11-14 12:56:42
65652,791011403472,"ИП ""Алихан""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65652,Нет,"Алматинская область, Енбекшиказахский район, г.Есик
Алматинская область, Енбекшиказахский район, г.Есик
Алматинская область, Енбекшиказахский район, г.Есик",Частные организации,Алматинская область,2025-03-11 12:02:49
65986,130140002520,"ТОО ""Жаркент-Дауа""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65986,Нет,"область Жетісу, Панфиловский район, г.Жаркент",Частные организации,область Жетісу,2023-12-22 17:19:41
65234,180440004785,"ТОО ""DIAVERUM Medical""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65234,Нет,"Алматинская область, Енбекшиказахский район, с.Шелек",Частные организации,г.Шымкент,2025-03-07 16:19:10
65482,241040017779,"Товарищество с ограниченной ответственностью ""Daryn pulse clinic""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65482,Нет,"г.Шымкент, Каратауский район
г.Шымкент, Каратауский район",Частные организации,г.Шымкент,2025-03-07 16:18:48
65947,080540009302,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""САЯЖАН""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65947,Нет,"Актюбинская область, г.Актобе, район Астана
Актюбинская область, г.Актобе, район Астана",Частные организации,Актюбинская область,2017-09-12 00:00:00
65954,200140038267,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AKTOBE MED SERVICE""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65954,Нет,"Актюбинская область, г.Актобе, район Астана
Актюбинская область, г.Актобе, район Астана
Актюбинская область, г.Актобе, район Астана",Частные организации,Актюбинская область,2021-06-17 17:00:07
65523,150740006678,"Республиканское государственное предприятие на праве хозяйственного ведения ""Национальный центр экспертизы"" Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65523,Нет,"г.Астана, район Сарыарка",Государственные организации,г.Астана,2023-04-24 10:21:06
65533,140640025173,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""HOME MED""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65533,Нет,"г.Астана, район Алматы
г.Астана, район Алматы
г.Астана, район Алматы
г.Астана, район Алматы
г.Астана, район Алматы
г.Астана, район Алматы
г.Астана, район Алматы
г.Астана, район Алматы",Частные организации,г.Астана,2018-08-02 00:00:00
65462,980540000081,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЫРЗА-ХАН""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65462,Нет,"г.Астана, район Есиль",Частные организации,г.Астана,2022-11-26 13:52:09
65456,230340034051,"Товарищество с ограниченной ответственностью ""Научно исследовательский институт здоровья ЭМИРМЕД""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65456,Нет,"г.Астана, район Алматы",Частные организации,г.Астана,2025-03-07 15:57:09
65410,230440000070,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КДЛ ОЛИМП АСТАНА""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65410,Нет,"г.Астана, район Есиль",Частные организации,г.Астана,2024-01-22 17:53:59
65973,080340020376,"ТОО ""INVIVO"" (ИНВИВО)",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65973,Нет,"г.Алматы, Алмалинский район",Частные организации,Карагандинская область,2019-11-14 12:53:37
65958,210540012450,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР МОЛЕКУЛЯРНОЙ МЕДИЦИНЫ - ШЫМКЕНТ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65958,Нет,"г.Шымкент, Аль-Фарабийский район
г.Шымкент, Аль-Фарабийский район",Частные организации,Туркестанская область,2023-12-27 11:28:20
65938,060940002069,"Товарищество с ограниченной ответственностью ""Азия-Строй КВ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65938,Нет,"г.Астана, район Сарыарка
г.Астана, район Сарыарка",Частные организации,Костанайская область,2025-03-06 17:20:43
65952,230240030441,"Товарищество с ограниченной ответственностью ""Клиника Lotus Medical""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65952,Нет,"Карагандинская область, г.Сарань, п.Актас",Частные организации,Карагандинская область,2023-08-15 18:19:39
65878,250140007932,"""ТЫНЫШТЫҚ-777"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65878,Нет,"Туркестанская область, Жетисайский район, с.Ынтымак",Частные организации,Туркестанская область,2025-03-06 16:54:09
65930,971040000944,"ТОО ""ФИРМА ЧА-КУР""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65930,Нет,"Мангистауская область, г.Актау",Частные организации,Мангистауская область,2017-09-12 00:00:00
65935,101140019334,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ORION MEDICALS"" (""ОРИОН МЕДИКАЛЗ"")",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65935,Нет,"Атырауская область, г.Атырау",Частные организации,Мангистауская область,2022-03-18 11:16:52
65941,780515402846,ИП АЙЛЕКОВА ЖИБЕК,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65941,Нет,"Мангистауская область, Тупкараганский район, с.Акшукур
Мангистауская область, Тупкараганский район, с.Акшукур",Частные организации,Мангистауская область,2023-02-03 11:15:58
65942,220240024673,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ДИАГНОСТИКИ АКТАУ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65942,Нет,"Мангистауская область, г.Актау",Частные организации,Мангистауская область,2023-02-02 15:56:58
65890,120440016679,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАСТАУ ТАРАЗ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65890,Нет,"Жамбылская область, г.Тараз
Жамбылская область, г.Тараз
Жамбылская область, г.Тараз",Частные организации,Жамбылская область,2017-09-13 00:00:00
65929,191040016697,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"SAMIMED""""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65929,Нет,"Туркестанская область, Сайрамский район, с.Карабулак
Туркестанская область, Сайрамский район, с.Карабулак
Туркестанская область, Сайрамский район, с.Карабулак
Туркестанская область, Сайрамский район, с.Карабулак",Частные организации,Туркестанская область,2020-09-04 19:32:18
65948,210540000358,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ASIA MED""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65948,Нет,"г.Шымкент, район Тұран
г.Шымкент, район Тұран",Частные организации,Туркестанская область,2022-01-11 16:20:19
65901,060940002069,"Товарищество с ограниченной ответственностью ""Азия-Строй КВ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65901,Нет,"г.Астана, район Сарыарка
г.Астана, район Сарыарка
г.Астана, район Сарыарка",Частные организации,Павлодарская область,2025-03-06 11:20:07
65908,140840003833,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МРТ ЛИДЕР""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65908,Нет,"г.Алматы, Алмалинский район",Частные организации,область Жетісу,2023-01-04 14:49:35
65887,060840000336,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КДЛ ОЛИМП""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65887,Нет,"г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,область Ұлытау,2023-02-03 17:23:19
65479,060840000336,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КДЛ ОЛИМП""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65479,Нет,"г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,г.Шымкент,2022-11-26 13:21:34
65910,060840000336,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КДЛ ОЛИМП""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65910,Нет,"г.Астана, район Есиль
г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,Туркестанская область,2023-02-02 12:30:34
65676,210340027293,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DINASTIYA GROUP""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65676,Нет,"Актюбинская область, г.Актобе, район Алматы
Актюбинская область, г.Актобе, район Алматы",Частные организации,Актюбинская область,2021-07-29 16:11:09
65244,080340020376,"ТОО ""INVIVO"" (ИНВИВО)",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65244,Нет,"г.Алматы, Алмалинский район",Частные организации,Мангистауская область,2019-11-14 11:44:53
65465,150740006678,"Республиканское государственное предприятие на праве хозяйственного ведения ""Национальный центр экспертизы"" Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65465,Нет,"г.Астана, район Сарыарка",Государственные организации,Мангистауская область,2023-04-24 10:56:53
65760,070240016828,"Товарищество с ограниченной ответственностью ""Green Vita Ciinic""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65760,Нет,"Атырауская область, г.Атырау",Частные организации,Атырауская область,2025-03-05 10:54:32
65223,180440004785,"ТОО ""DIAVERUM Medical""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65223,Нет,"Алматинская область, Енбекшиказахский район, с.Шелек",Частные организации,Атырауская область,2025-03-05 10:05:44
65895,150940010653,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР «ЯСИН»""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65895,Нет,"Мангистауская область, г.Актау
Мангистауская область, г.Актау",Частные организации,Мангистауская область,2017-10-02 00:00:00
65897,221040028959,"""ШАХЭЛЬДАМ"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65897,Нет,"Мангистауская область, г.Актау",Частные организации,Мангистауская область,2023-11-08 22:49:34
65849,180440014683,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МБА 1""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65849,Нет,"область Ұлытау, г.Сатпаев
область Ұлытау, г.Сатпаев",Частные организации,область Ұлытау,2020-07-27 11:19:54
65894,860323400566,ИП КАДРЕШЕВА САЛТАНАТ,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65894,Нет,"Жамбылская область, Кордайский район, с.Кордай
Жамбылская область, Кордайский район, с.Кордай
Жамбылская область, Кордайский район, с.Кордай",Частные организации,Жамбылская область,2023-11-15 17:51:06
65909,140840003833,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МРТ ЛИДЕР""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65909,Нет,"г.Алматы, Алмалинский район",Частные организации,г.Алматы,2020-11-09 10:52:10
65923,070940002526,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""КАСМЕД""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65923,Нет,"г.Алматы, Бостандыкский район
г.Алматы, Бостандыкский район",Частные организации,г.Алматы,2017-09-12 00:00:00
65480,060840000336,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КДЛ ОЛИМП""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65480,Нет,"г.Астана, район Есиль
г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,Алматинская область,2023-02-03 19:25:35
65889,060840000336,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КДЛ ОЛИМП""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65889,Нет,"г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,г.Алматы,2023-02-07 10:38:04
65891,191040014653,"ТОО ""Mediscan Group""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65891,Нет,"г.Астана, район Сарыарка
г.Астана, район Сарыарка",Частные организации,г.Алматы,2023-12-12 20:17:07
65893,060740003604,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""САНА""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65893,Нет,"г.Алматы, Бостандыкский район
г.Алматы, Бостандыкский район
г.Алматы, Бостандыкский район
г.Алматы, Бостандыкский район
г.Алматы, Бостандыкский район",Частные организации,г.Алматы,2018-09-11 00:00:00
65896,210440011358,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""TRINITY CORP""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65896,Нет,"г.Алматы, Бостандыкский район
г.Алматы, Бостандыкский район",Частные организации,г.Алматы,2021-10-19 14:36:09
65903,060440003643,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБОРАТОРНАЯ ДИАГНОСТИКА ""ЭКМИ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65903,Нет,"г.Алматы, Бостандыкский район",Частные организации,г.Алматы,2023-01-27 13:59:39
65907,160940005996,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГИСТОЛОГИЯ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65907,Нет,"Восточно-Казахстанская область, г.Усть-Каменогорск",Частные организации,Восточно-Казахстанская область,2018-06-19 00:00:00
65881,060840000336,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КДЛ ОЛИМП""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65881,Нет,"г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,Восточно-Казахстанская область,2023-02-02 15:12:27
65830,980540000081,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЫРЗА-ХАН""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65830,Нет,"г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,Костанайская область,2023-01-31 18:14:51
16269,210440036662,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР NEURO&LIFE;""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/16269,Нет,"Алматинская область, Илийский район, с.Отеген батыра
Алматинская область, Илийский район, с.Отеген батыра
Алматинская область, Илийский район, с.Отеген батыра",Частные организации,г.Алматы,2021-08-06 12:23:25
