№ Участника,Наименование участника,Ссылка,"БИН (ИНН, УНП)",ИИН,РНН
389635,"Товарищество с ограниченной ответственностью ""KARCOM""",https://fms.ecc.kz/ru/register/supplierreg/show/389635,180840027570,,
389495,"""Medical Servis"" (Медикал Сервис) жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/389495,110640007417,,
389455,"""Жасыл Жол 2012"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/389455,120540020254,,
389415,"Товарищество с ограниченной ответственностью ""Традиция вкуса""",https://fms.ecc.kz/ru/register/supplierreg/show/389415,230240027917,,
389335,"Товарищество с ограниченной ответственностью ""B E Medical""",https://fms.ecc.kz/ru/register/supplierreg/show/389335,240640020550,,
389295,"""Медицинский центр Мәртебе"" ЖШС",https://fms.ecc.kz/ru/register/supplierreg/show/389295,191240002429,,
389235,"Товарищество с ограниченной ответственностью ""Vitality Life Clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/389235,240340001592,,
389195,"""Healthcare Technologies Central Asia (HeCaTeCA)"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/389195,150640002760,,
389155,"ТОО ""BTL KAZAKHSTAN"" (Би Ти Эл Казахстан)",https://fms.ecc.kz/ru/register/supplierreg/show/389155,081040008735,,
389075,"""Эхо Клиник"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/389075,240740021224,,
388995,"Товарищество с ограниченной ответственностью ""Петропавловский автобусный парк""",https://fms.ecc.kz/ru/register/supplierreg/show/388995,060740000352,,
388895,"Товарищество с ограниченной ответственностью ""ABI Group""",https://fms.ecc.kz/ru/register/supplierreg/show/388895,170840019815,,
388815,ИП БЕКТҰРСЫНОВА АҚЕРКЕ,https://fms.ecc.kz/ru/register/supplierreg/show/388815,,920920402175,
388735,"Региональное общественное объединение ""Дети будущее страны""",https://fms.ecc.kz/ru/register/supplierreg/show/388735,151240014504,,
388675,ИП Nar Dent,https://fms.ecc.kz/ru/register/supplierreg/show/388675,,840125450196,
388635,"Товарищество с ограниченной ответственностью ""ES Trade Company""",https://fms.ecc.kz/ru/register/supplierreg/show/388635,180240016761,,
388575,"Товарищество с ограниченной ответственностью ""Самұрық Сенім""",https://fms.ecc.kz/ru/register/supplierreg/show/388575,231240024539,,
388535,"Товарищество с ограниченной ответственностью ""EliteMed""",https://fms.ecc.kz/ru/register/supplierreg/show/388535,241140009563,,
388475,"Товарищество с ограниченной ответственностью ""Ра Медикал""",https://fms.ecc.kz/ru/register/supplierreg/show/388475,241240028167,,
388415,ИП ЖЕКСЕНБЕКОВ ЕРКЕШ,https://fms.ecc.kz/ru/register/supplierreg/show/388415,,790227350043,
388335,"Товарищество с ограниченной ответственностью ""Клин Лаб""",https://fms.ecc.kz/ru/register/supplierreg/show/388335,220240015565,,
388275,"Товарищество с ограниченной ответственностью ""ALFA-MED ALMATY (АЛЬФА-МЕД АЛМАТЫ)""",https://fms.ecc.kz/ru/register/supplierreg/show/388275,240240004917,,
388195,"Товарищество с ограниченной ответственностью ""Easy Med Clinics""",https://fms.ecc.kz/ru/register/supplierreg/show/388195,240740029785,,
388115,"Товарищество с ограниченной ответственностью ""КАЗАХСТАН-МЕД ДЕЗ""",https://fms.ecc.kz/ru/register/supplierreg/show/388115,050140005578,,
388055,"Товарищество с ограниченной ответственностью ""Sono clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/388055,240840002935,,
388015,"Товарищество с ограниченной ответственностью ""QazQuality Control""",https://fms.ecc.kz/ru/register/supplierreg/show/388015,220340028590,,
387955,"Товарищество с ограниченной ответственностью ""Куралов""",https://fms.ecc.kz/ru/register/supplierreg/show/387955,240640012519,,
387895,"Товарищество с ограниченной ответственностью ""Clinic Expert""",https://fms.ecc.kz/ru/register/supplierreg/show/387895,240740033862,,
387855,"Товарищество с ограниченной ответственностью ""Профилактика""",https://fms.ecc.kz/ru/register/supplierreg/show/387855,971140002934,,
387775,ИП АЛИЕВА АЙСУЛУ,https://fms.ecc.kz/ru/register/supplierreg/show/387775,,880512400100,
387695,"""Шынгыс LTD"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/387695,160140002368,,
387635,"Товарищество с ограниченной ответственностью ""Тамерлан Групп""",https://fms.ecc.kz/ru/register/supplierreg/show/387635,240740005272,,
387595,ИП ЮСУПОВ АЛИШЕР,https://fms.ecc.kz/ru/register/supplierreg/show/387595,,680927302908,
387535,ИП БЕКІМБЕТОВА ЖАНЕРКЕ,https://fms.ecc.kz/ru/register/supplierreg/show/387535,,970610450565,
387495,"Шымкент қаласының ауыл шаруашылығы және ветеринария басқармасының ""Ветеринариялық қызмет"" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорны",https://fms.ecc.kz/ru/register/supplierreg/show/387495,120340009187,,
387355,ИП КӨБЕГЕНОВА АЛТЫНГҮЛ,https://fms.ecc.kz/ru/register/supplierreg/show/387355,,930121402054,
387255,"Товарищество с ограниченной ответственностью ""Торговый дом Алатау""",https://fms.ecc.kz/ru/register/supplierreg/show/387255,000240000442,,
387215,"Товарищество с ограниченной ответственностью ""DNK Klinica""",https://fms.ecc.kz/ru/register/supplierreg/show/387215,200840017748,,
387135,"Товарищество с ограниченной ответственностью ""Status Medical Center""",https://fms.ecc.kz/ru/register/supplierreg/show/387135,130440005090,,
387095,"Товарищество с ограниченной ответственностью ""Sevil Kids""",https://fms.ecc.kz/ru/register/supplierreg/show/387095,210440011210,,
387035,"Товарищество с ограниченной ответственностью ""Sevil home clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/387035,150840002034,,
386975,"Товарищество с ограниченной ответственностью ""Lab Smile Atyrau""",https://fms.ecc.kz/ru/register/supplierreg/show/386975,221240013735,,
386935,"Товарищество с ограниченной ответственностью ""AST-lab (AСТ-лаб)""",https://fms.ecc.kz/ru/register/supplierreg/show/386935,230340010371,,
386895,"ТОО ""ASU-MED clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/386895,180940026358,,
386855,"Филиал Товарищества с ограниченной ответственностью ""Гигиенист VII"" в городе Астана",https://fms.ecc.kz/ru/register/supplierreg/show/386855,221141051417,,
386775,"Товарищество с ограниченной ответственностью ""Ақсары corp.""",https://fms.ecc.kz/ru/register/supplierreg/show/386775,240540026298,,
386655,"Товарищество с ограниченной ответственностью ""Медицинский центр ""Дамир""",https://fms.ecc.kz/ru/register/supplierreg/show/386655,050840008914,,
386615,"Товарищество с ограниченной ответственностью ""Т-ТЕМИР""",https://fms.ecc.kz/ru/register/supplierreg/show/386615,231140020403,,
386475,ИП D-ЛОР,https://fms.ecc.kz/ru/register/supplierreg/show/386475,,870923400583,
386395,"Товарищество с ограниченной ответственностью ""Dr.Darbаyeva""",https://fms.ecc.kz/ru/register/supplierreg/show/386395,241040025998,,
386315,"ТОО ""StarMedical""",https://fms.ecc.kz/ru/register/supplierreg/show/386315,211140005149,,
386255,"Товарищество с ограниченной ответственностью ""НИИ Аллергоскрин""",https://fms.ecc.kz/ru/register/supplierreg/show/386255,211140010036,,
386195,"""Medikay"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/386195,240840032411,,
386135,"Товарищество с ограниченной ответственностью ""AVF - Clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/386135,240940012798,,
386095,"Объединение юридических лиц ""Ассоциация частных медицинских учреждений Мангистауской области""",https://fms.ecc.kz/ru/register/supplierreg/show/386095,240540015470,,
385875,ИП ЕРГАЛИЕВА АРАЙЛЫМ,https://fms.ecc.kz/ru/register/supplierreg/show/385875,,900528402269,
385815,"Товарищество с ограниченной ответственностью ""АлтИНФАРМ""",https://fms.ecc.kz/ru/register/supplierreg/show/385815,191240020704,,
385755,ИП САКИЕВА РОЗА,https://fms.ecc.kz/ru/register/supplierreg/show/385755,,630330401674,
385715,"""Стоматологическая клиника ""Эстет"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/385715,240140005677,,
385675,"Товарищество с ограниченной ответственностью ""A&E Dental clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/385675,240540030781,,
385635,"Товарищество с ограниченной ответственностью """"Медицинский центр ""Жанұя""""",https://fms.ecc.kz/ru/register/supplierreg/show/385635,241040012936,,
385575,"Товарищество с ограниченной ответственностью ""Стоматология Dr.Nassipkaliyev""",https://fms.ecc.kz/ru/register/supplierreg/show/385575,230740017204,,
385495,ТКАЧЕНКО ЕЛЕНА,https://fms.ecc.kz/ru/register/supplierreg/show/385495,,691206450235,
385455,"ТОО ""Табысты-НС""",https://fms.ecc.kz/ru/register/supplierreg/show/385455,141240019573,,
385375,"Товарищество с ограниченной ответственностью ""Медицинский центр Дана""",https://fms.ecc.kz/ru/register/supplierreg/show/385375,230840017337,,
385295,"Республиканское государственное учреждение ""Комитет по инвестициям Министерства иностранных дел Республики Казахстан""",https://fms.ecc.kz/ru/register/supplierreg/show/385295,030140001968,,
385235,"Товарищество с ограниченной ответственностью ""Рахат Cтом""",https://fms.ecc.kz/ru/register/supplierreg/show/385235,240940034085,,
385195,"Производственный кооператив ""СПК ШАХСҰЛТАН""",https://fms.ecc.kz/ru/register/supplierreg/show/385195,231240021435,,
385155,"Товарищество с ограниченной ответственностью ""АИНдент""",https://fms.ecc.kz/ru/register/supplierreg/show/385155,210840001476,,
385115,"Товарищество с ограниченной ответственностью ""PK Distribution Group""",https://fms.ecc.kz/ru/register/supplierreg/show/385115,241140032072,,
385055,ИП САТБАЕВ НУРЖАН,https://fms.ecc.kz/ru/register/supplierreg/show/385055,,761212302722,
384935,"Товарищество с ограниченной ответственностью ""Daua clinica""",https://fms.ecc.kz/ru/register/supplierreg/show/384935,240740028390,,
384895,"Товарищество с ограниченной ответственностью ""Медицинский центр ""Автомобилист""",https://fms.ecc.kz/ru/register/supplierreg/show/384895,060740006361,,
384755,"Товарищество с ограниченной ответственностью ""Family-Нұраят""",https://fms.ecc.kz/ru/register/supplierreg/show/384755,240140034204,,
384695,ИП ШАМШИЕВА ГУЛНУР,https://fms.ecc.kz/ru/register/supplierreg/show/384695,,831204400982,
384615,"Товарищество с ограниченной ответственностью ""Клиника Ибн Сина""",https://fms.ecc.kz/ru/register/supplierreg/show/384615,240440005043,,
384595,"Товарищество с ограниченной ответственностью ""OtarBioPharm""",https://fms.ecc.kz/ru/register/supplierreg/show/384595,210640032934,,
384395,"Товарищество с ограниченной ответственностью ""EUROMED SERVICE""",https://fms.ecc.kz/ru/register/supplierreg/show/384395,201240008819,,
384355,"Товарищество с ограниченной ответственностью ""АYАСОМ""",https://fms.ecc.kz/ru/register/supplierreg/show/384355,100740002507,,
384315,"Товарищество с ограниченной ответственностью ""KP Distribution Group""",https://fms.ecc.kz/ru/register/supplierreg/show/384315,240840022543,,
384255,"Товарищество с ограниченной ответственностью ""Dentalius""",https://fms.ecc.kz/ru/register/supplierreg/show/384255,221040002023,,
384215,"Товарищество с ограниченной ответственностью ""Медицинская клиника Акерке""",https://fms.ecc.kz/ru/register/supplierreg/show/384215,210140016131,,
384175,"Товарищество с ограниченной ответственностью ""MegaDentPlus""",https://fms.ecc.kz/ru/register/supplierreg/show/384175,170740014117,,
384075,"Товарищество с ограниченной ответственностью ""Алатау Н""",https://fms.ecc.kz/ru/register/supplierreg/show/384075,230740037695,,
384015,"ТОО ""Дария Дент""",https://fms.ecc.kz/ru/register/supplierreg/show/384015,220140015723,,
383975,"Товарищество с ограниченной ответственностью ""AMIRMED KZ""",https://fms.ecc.kz/ru/register/supplierreg/show/383975,240140020125,,
383815,"""МультиМед"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/383815,190240015140,,
383535,"Товарищество с ограниченной ответственностью ""Амина медикал""",https://fms.ecc.kz/ru/register/supplierreg/show/383535,240440016029,,
383515,"ТОО ""ALEM KZO""",https://fms.ecc.kz/ru/register/supplierreg/show/383515,241040011452,,
383375,"Товарищество с ограниченной ответственностью ""Takurra""",https://fms.ecc.kz/ru/register/supplierreg/show/383375,181040017577,,
383295,"Товарищество с ограниченной ответственностью ""Смарт Батыс""",https://fms.ecc.kz/ru/register/supplierreg/show/383295,221140053547,,
383255,"Товарищество с ограниченной ответственностью ""Медицинский центр dr. Akhmetalievna""",https://fms.ecc.kz/ru/register/supplierreg/show/383255,240940015099,,
383215,"Товарищество с ограниченной ответственностью ""NRT Центр эстетической стоматологии и косметологии""",https://fms.ecc.kz/ru/register/supplierreg/show/383215,230240007754,,
383135,"ТОО ""Spine KZO""",https://fms.ecc.kz/ru/register/supplierreg/show/383135,240140017086,,
383015,"Товарищество с ограниченной ответственностью ""Vishe""",https://fms.ecc.kz/ru/register/supplierreg/show/383015,240340015136,,
382975,"Товарищество с ограниченной ответственностью ""БЕК_КЛИНИК""",https://fms.ecc.kz/ru/register/supplierreg/show/382975,240740033674,,
382915,ИП ТАСМАГАНБЕТОВА ГУЛЬБАРАМ,https://fms.ecc.kz/ru/register/supplierreg/show/382915,,610918401964,
382835,"Общественный фонд ""Aqylsana""",https://fms.ecc.kz/ru/register/supplierreg/show/382835,220240034511,,
382795,ИП ДҮЙСЕНӘЛІ МЕЙІРЖАН,https://fms.ecc.kz/ru/register/supplierreg/show/382795,,020106501467,
382635,"Товарищество с ограниченной ответственностью ""msclinic""",https://fms.ecc.kz/ru/register/supplierreg/show/382635,221040015015,,
382575,"ТОО ""Оңалту ортылығы ""Айша""""",https://fms.ecc.kz/ru/register/supplierreg/show/382575,240240027740,,
